n4,2.6262097033,2.6262097033,2.6262097033,-46.4082418113,-244.402242483,-281.052790571,-305.482159641,-320.710657345,-329.729038111,-334.940043541,-338.359695119,-341.115541651,-528.355348823,-631.480598167,-687.987181792,-718.81818825,-735.648575593,-744.904518117,-750.07796824,-753.085490735,-754.951105125,-756.223720558,-757.196258252,-758.023149479,-758.787037381,-759.531447538,-760.279223983,-761.042283574,-761.826785124,-762.635859352,-763.47104675,-764.333053093,-765.22214558,-766.138360178,-767.081610003,-768.051741931,-769.048566191,-770.071871857,-771.121435026,-772.197023183,-773.298397589,-774.425314656,-775.577526782,-776.754782923,-777.956829019,-779.183408342,-780.434261815,-781.7091283,-783.007744875,-784.329847106,-785.675169307,-787.043444794,-788.434406136,-789.847785392,-791.283314349,-792.740724749,-794.219748502,-795.720117904,-797.241565833,-798.783825946,-800.346632863,-801.929722342,-803.532831444,-805.155698694,-806.798064228,-808.459669931,-810.140259571,-811.839578915,-813.557375848,-815.293400475,-817.047405215,-818.819144892,-820.608376813,-822.41486084,-824.238359457,-826.078637824,-827.935463833,-829.808608143,-831.697844227,-833.602948398,-835.523699836,-837.459880607,-839.411275679,-841.377672931,-843.358863159,-845.354640076,-847.364800307,-849.389143386,-851.427471738,-853.47959067,-855.545308352,-857.624435794,-859.716786825,-861.822178064,-863.940428894,-866.071361432,-868.214800491,-870.370573552,-872.538510722,-874.718444699,-876.910210732
n2,0.5686472771,0.5686472771,0.5686472771,-48.6672786841,-97.7877719936,-134.831290169,-159.869601474,-174.637588815,-184.178680024,-190.482014973,-194.448289408,-197.810997217,-385.589472475,-489.080756756,-545.463941082,-576.404044046,-593.504907378,-603.18128614,-608.731502571,-612.228285402,-614.61556513,-616.39096466,-617.765232445,-618.774226839,-619.708402615,-620.609473751,-621.498852175,-622.387399453,-623.280453824,-624.180484069,-625.088484527,-626.004705139,-626.929031416,-627.861180754,-628.800802732,-629.747529433,-630.700999902,-631.660871321,-632.626823455,-633.598559754,-634.57580685,-635.558313345,-636.545848336,-637.538199879,-638.535173512,-639.536590863,-640.542288371,-641.552116103,-642.565936675,-643.583624261,-644.60506368,-645.630149561,-646.658785564,-647.690883665,-648.726363487,-649.765151683,-650.807181354,-651.852391508,-652.900726553,-653.952135821,-655.006573117,-656.063996298,-657.124366874,-658.187649629,-659.253812267,-660.322825071,-661.394660583,-662.469293297,-663.546699369,-664.626856339,-665.709742866,-666.795338474,-667.883623306,-668.974577891,-670.068182919,-671.164419015,-672.263266535,-673.364705351,-674.468714648,-675.575272725,-676.684356796,-677.795942792,-678.910005161,-680.02651667,-681.145448202,-682.266768548,-683.390444196,-684.516439107,-685.644714486,-686.77522854,-687.907936224,-689.04278896,-690.179734354,-691.318715874,-692.459672509,-693.602538394,-694.747242402,-695.89370769,-697.041851197,-698.191583089,-699.34280613
n6,4.4716562261,4.4716562261,4.4716562261,-37.0967996306,-85.6998395974,-122.160173642,-146.200426728,-161.278030231,-169.922749261,-174.534662221,-177.042098252,-178.882019603,-366.169768353,-469.400038593,-526.015075103,-556.987442429,-574.007760029,-583.513385123,-589.150910209,-593.167058102,-601.800795026,-602.650117846,-603.475852797,-604.144472238,-604.741143899,-605.308893697,-605.870041805,-606.435990061,-607.012405356,-607.601957525,-608.205761504,-608.824134921,-609.456994927,-610.104065335,-610.764984205,-611.43935928,-612.126796153,-612.826912187,-613.53934303,-614.263745282,-614.999797185,-615.747198311,-616.505668764,-617.274948152,-618.054794479,-618.844983024,-619.645305249,-620.455567749,-621.275591258,-622.105209705,-622.944269341,-623.792627908,-624.650153867,-625.516725686,-626.392231163,-627.276566803,-628.169637242,-629.071354707,-629.981638516,-630.900414614,-631.827615149,-632.76317807,-633.707046766,-634.659169728,-635.619500238,-636.587996087,-637.564619312,-638.549335963,-639.542115886,-640.542932528,-641.551762765,-642.568586746,-643.593387756,-644.6261521,-645.666868998,-646.715530505,-647.772131444,-648.836669352,-649.90914445,-650.989559623,-652.077920425,-653.174235088,-654.278514568,-655.390772586,-656.511025712,-657.639293449,-658.775598352,-659.919966163,-661.072425974,-662.233010414,-663.401755865,-664.578702714,-665.763895637,-666.957383921,-668.159221832,-669.369469033,-670.588191056,-671.815459834,-673.051354312,-674.295961136,-675.549375433
n3,1.800043248,1.800043248,1.800043248,-46.5174692672,-95.177684946,-131.593943962,-155.778508051,-172.292725333,-179.490922898,-182.872058641,-182.008209056,-192.62620828,-378.292613317,-480.552778674,-535.749138041,-565.4489904,-581.248096474,-589.48118105,-593.255969699,-594.795633071,-594.849803329,-588.216454179,-588.353951444,-588.321943809,-588.19755705,-588.026885911,-587.834349231,-587.632953722,-587.42967838,-587.228310098,-587.030936158,-586.838729914,-586.652365083,-586.472235134,-586.298570456,-586.131501892,-585.971096032,-585.817375581,-585.670331716,-585.529932083,-585.396126335,-585.268850207,-585.148028686,-585.033578561,-584.925410515,-584.823430879,-584.727543096,-584.637648948,-584.553649584,-584.475446369,-584.402941584,-584.336038993,-584.274644295,-584.218665483,-584.168013112,-584.122600493,-584.082343835,-584.04716232,-584.016978147,-583.991716529,-583.971305661,-583.955676669,-583.944763528,-583.938502971,-583.936834384,-583.939699685,-583.947043202,-583.958811547,-583.974953475,-583.995419759,-584.020163045,-584.049137725,-584.082299798,-584.119606741,-584.161017377,-584.206491751,-584.255991007,-584.309477266,-584.366913511,-584.428263475,-584.493491529,-584.562562579,-584.635441963,-584.712095352,-584.792488651,-584.87658791,-584.964359231,-585.055768679,-585.1507822,-585.249365529,-585.351484115,-585.457103033,-585.566186908,-585.67869983,-585.794605274,-585.913866022,-586.036444078,-586.162300583,-586.291395735,-586.423688695,-586.559137496
n5,4.7832390043,4.7832390043,4.7832390043,-51.3633419576,-99.6969381376,-135.132220095,-114.254706346,-128.700829616,-137.110653127,-141.705844702,-144.485056995,-146.535230534,-333.281437633,-436.318819114,-492.805020452,-523.953515595,-537.047445667,-545.320051446,-549.604142564,-551.750323112,-552.750257709,-553.145515659,-553.279882213,-553.234403695,-553.094022732,-552.902511649,-552.683248146,-552.448814037,-552.206093524,-551.958964519,-551.709715448,-551.45978933,-551.210173819,-550.961605422,-550.714676438,-550.469891096,-550.227695246,-549.9884923,-549.752652067,-549.520515909,-549.2924,-549.0685976,-548.849380831,-548.635002157,-548.425695721,-548.221678571,-548.023151812,-547.830301699,-547.643300666,-547.462308297,-547.287472248,-547.118929104,-546.956805192,-546.801217328,-546.652273525,-546.510073642,-546.374709992,-546.246267902,-546.124826227,-546.010457836,-545.903230045,-545.803205031,-545.710440201,-545.624988541,-545.546898932,-545.476216442,-545.412982597,-545.357235628,-545.309010703,-545.268340135,-545.235253581,-545.209778218,-545.191938918,-545.181758398,-545.179257366,-545.184454658,-545.197367364,-545.218010945,-545.246399346,-545.282545099,-545.326459426,-545.378152328,-545.437632682,-545.504908321,-545.579986121,-545.662872078,-545.75357139,-545.852088528,-545.958427316,-546.072590998,-546.194582317,-546.324403585,-546.462056752,-546.607543485,-546.76086524,-546.922023335,-547.091019029,-547.267853603,-547.452528437,-547.645045101,-547.845405439
n1,7.3850324013,7.3850324013,7.3850324013,-41.2726185265,-90.2178700756,-127.001023501,-151.569980813,-167.265141484,-178.077691835,-160.753420273,-163.294060551,-165.093308076,-351.183858031,-455.190241198,-511.581344865,-542.945024401,-557.609364153,-525.185266981,-529.512681333,-531.604061242,-532.501425746,-532.755484599,-532.656580237,-532.324326466,-531.881252486,-531.370734603,-530.816161995,-530.230093105,-529.61938634,-528.987908005,-528.337957048,-527.671012521,-526.988124546,-526.290118099,-525.577698747,-524.851507149,-524.112146851,-523.360198213,-522.596225157,-521.820778235,-521.03439584,-520.237604494,-519.430918713,-518.6148407,-517.789859984,-516.95645309,-516.115083252,-515.266200194,-514.410239978,-513.547624916,-512.678763552,-511.804050692,-510.923867497,-510.038581615,-509.148547359,-508.25410592,-507.355585607,-506.453302115,-505.547558817,-504.638647069,-503.726846524,-502.812425468,-501.895641152,-500.976740129,-500.055958599,-499.133522749,-498.209649089,-497.284544787,-496.358408002,-495.431428203,-494.503786491,-493.575655902,-492.647201713,-491.718581731,-490.789946578,-489.861439966,-488.933198958,-488.005354226,-487.078030299,-486.151345795,-485.225413655,-484.300341354,-483.376231116,-482.453180115,-481.531280663,-480.6106204,-479.691282465,-478.773345668,-477.856884648,-476.941970027,-476.028668557,-475.117043259,-474.207153554,-473.299055389,-472.392801359,-471.488440817,-470.586019984,-469.685582049,-468.787167263,-467.890813033,-466.996554003
n7,7.2836506352,-90.3766657253,-90.3766657253,-114.801930488,-139.241205567,-157.613195224,-169.957006509,-177.545578222,-181.340272829,-183.035883981,111.642765379,-56.5797064242,-149.920629334,-201.356511522,-229.437037352,-244.657772686,-252.858878436,-257.254533441,-259.600452356,-260.847622529,-261.508527703,-261.858744142,-262.043171086,-262.140097255,-262.190938449,-262.217569707,-262.231513042,-262.238822491,-262.242672047,-262.244722495,-262.245841334,-262.24648103,-262.246877322,-262.247152961,-262.247371891,-262.24756749,-262.247757275,-262.247950538,-262.248152312,-262.248365432,-262.248591593,-262.248831905,-262.249087173,-262.249358049,-262.249645101,-262.249948857,-262.250269824,-262.250608494,-262.250965355,-262.251340889,-262.251735576,-262.252149893,-262.252584314,-262.253039311,-262.253515356,-262.254012916,-262.254532456,-262.255074441,-262.255639329,-262.25622758,-262.256839649,-262.257475987,-262.258137045,-262.258823268,-262.259535101,-262.260272982,-262.261037349,-262.261828635,-262.26264727,-262.263493681,-262.264368289,-262.265271513,-262.266203769,-262.267165468,-262.268157016,-262.269178816,-262.270231268,-262.271314766,-262.272429701,-262.27357646,-262.274755425,-262.275966973,-262.277211481,-262.278489316,-262.279800847,-262.281146434,-262.282526437,-262.283941211,-262.285391107,-262.286876474,-262.288397657,-262.289954999,-262.29154884,-262.293179519,-262.294847372,-262.296552736,-262.298295946,-262.300077337,-262.301897245,-262.303756008,-262.305653966
